,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
1,0.0,0.0,1.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,456.0,45.6,100.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,460.0,61.06666666666666,100.0,0.2
4,0.0,0.0,1.0,0.0,0.0,1.0,498.0,2.0,0.0,0.0,0.0,0.0,459.0,68.75,-150.0,0.4
5,0.0,0.0,1.0,0.0,0.0,1.0,497.0,3.0,0.0,0.0,0.0,0.0,459.0,73.36,-66.66666666666667,0.6
6,0.0,0.0,1.0,0.0,0.0,1.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,76.43333333333334,-25.0,0.8
7,0.0,0.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,78.62857142857143,100.0,0.8
8,0.0,0.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,80.275,100.0,0.8
9,0.0,0.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,81.55555555555554,100.0,0.8
10,0.0,1.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,82.58,100.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,459.0,83.41818181818181,100.0,1.0
12,0.0,0.0,2.0,0.0,0.0,2.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,84.11666666666666,-42.85714285714286,1.4
13,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,84.70769230769231,100.0,1.4
14,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,85.21428571428571,100.0,1.4
15,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,85.65333333333332,100.0,1.4
16,0.0,1.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,86.0375,100.0,1.6
17,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,459.0,86.37647058823529,100.0,1.6
18,0.0,0.0,1.0,0.0,0.0,1.0,493.0,7.0,0.0,0.0,0.0,0.0,459.0,86.67777777777778,44.44444444444444,1.8
19,0.0,0.0,2.0,0.0,0.0,2.0,491.0,9.0,0.0,0.0,0.0,0.0,460.0,86.9578947368421,9.090909090909093,2.2
20,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,0.0,0.0,0.0,0.0,460.0,87.21,100.0,2.2
21,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,0.0,0.0,0.0,0.0,459.0,87.42857142857143,100.0,2.2
22,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,0.0,0.0,0.0,0.0,459.0,87.62727272727273,100.0,2.2
23,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,0.0,0.0,0.0,0.0,459.0,87.80869565217392,100.0,2.2
24,0.0,1.0,1.0,0.0,1.0,1.0,490.0,9.0,1.0,0.0,0.0,0.0,459.0,87.975,23.076923076923084,2.6
25,0.0,0.0,1.0,0.0,0.0,1.0,489.0,10.0,1.0,0.0,0.0,0.0,460.0,91.80833333333334,61.53846153846154,2.6
26,0.0,0.0,0.0,0.0,0.0,0.0,489.0,10.0,1.0,0.0,0.0,0.0,461.0,91.85,100.0,2.6
27,0.0,0.0,1.0,0.0,0.0,1.0,488.0,10.0,2.0,0.0,0.0,0.0,459.0,91.84166666666665,64.28571428571428,2.8
28,0.0,0.0,0.0,0.0,0.0,0.0,488.0,10.0,2.0,0.0,0.0,0.0,461.0,91.85833333333335,100.0,2.6
29,0.0,0.0,1.0,0.0,0.0,1.0,487.0,11.0,2.0,0.0,0.0,0.0,460.0,91.86666666666666,61.53846153846154,2.6
30,0.0,0.0,0.0,0.0,0.0,0.0,487.0,11.0,2.0,0.0,0.0,0.0,460.0,91.875,100.0,2.4
31,0.0,0.0,2.0,0.0,0.0,2.0,485.0,13.0,2.0,0.0,0.0,0.0,460.0,91.88333333333334,28.57142857142857,2.8
32,0.0,0.0,0.0,0.0,0.0,0.0,485.0,13.0,2.0,0.0,0.0,0.0,459.0,91.88333333333334,100.0,2.8
33,0.0,0.0,1.0,0.0,0.0,1.0,484.0,14.0,2.0,0.0,0.0,0.0,459.0,91.88333333333334,66.66666666666667,3.0
34,0.0,0.0,0.0,0.0,0.0,0.0,484.0,14.0,2.0,0.0,0.0,0.0,460.0,91.89166666666665,100.0,2.8
35,0.0,0.0,0.0,0.0,0.0,0.0,484.0,14.0,2.0,0.0,0.0,0.0,460.0,91.9,100.0,2.8
36,0.0,1.0,0.0,0.0,1.0,0.0,484.0,14.0,2.0,0.0,0.0,0.0,459.0,91.9,61.53846153846154,2.6
37,0.0,0.0,1.0,0.0,0.0,1.0,483.0,14.0,3.0,0.0,0.0,0.0,460.0,91.90833333333335,64.28571428571428,2.8
38,0.0,1.0,0.0,0.0,1.0,0.0,483.0,14.0,3.0,0.0,0.0,0.0,461.0,91.925,68.75,3.2
39,0.0,0.0,0.0,0.0,0.0,0.0,483.0,14.0,3.0,0.0,0.0,0.0,462.0,91.95,100.0,3.2
40,0.0,0.0,0.0,0.0,0.0,0.0,483.0,14.0,3.0,0.0,0.0,0.0,460.0,91.95833333333334,100.0,3.0
41,0.0,0.0,1.0,0.0,0.0,1.0,482.0,15.0,3.0,0.0,0.0,0.0,459.0,91.95833333333334,68.75,3.2
42,0.0,0.0,0.0,0.0,0.0,0.0,482.0,15.0,3.0,0.0,0.0,0.0,461.0,91.975,100.0,3.0
43,0.0,0.0,0.0,0.0,0.0,0.0,482.0,15.0,3.0,0.0,0.0,0.0,460.0,91.975,100.0,2.6
44,0.0,0.0,0.0,0.0,0.0,0.0,482.0,15.0,3.0,0.0,0.0,0.0,459.0,91.96666666666665,100.0,2.6
45,0.0,0.0,0.0,0.0,0.0,0.0,482.0,15.0,3.0,0.0,0.0,0.0,459.0,91.96666666666665,100.0,2.6
46,0.0,0.0,1.0,0.0,0.0,1.0,481.0,16.0,3.0,0.0,0.0,0.0,459.0,91.96666666666665,64.28571428571428,2.8
47,0.0,0.0,0.0,0.0,0.0,0.0,481.0,16.0,3.0,0.0,0.0,0.0,459.0,91.96666666666665,100.0,2.8
48,0.0,0.0,1.0,0.0,0.0,1.0,480.0,17.0,3.0,0.0,0.0,0.0,459.0,91.96666666666665,64.28571428571428,2.8
49,0.0,0.0,1.0,0.0,0.0,1.0,479.0,18.0,3.0,0.0,0.0,0.0,459.0,91.95833333333334,64.28571428571428,2.8
50,0.0,0.0,0.0,0.0,0.0,0.0,479.0,18.0,3.0,0.0,0.0,0.0,460.0,91.95,100.0,2.8
51,0.0,0.0,0.0,0.0,0.0,0.0,479.0,18.0,3.0,0.0,0.0,0.0,459.0,91.95,100.0,2.6
52,0.0,0.0,0.0,0.0,0.0,0.0,479.0,18.0,3.0,0.0,0.0,0.0,459.0,91.93333333333334,100.0,2.6
53,0.0,1.0,1.0,0.0,1.0,1.0,478.0,19.0,2.0,1.0,0.0,0.0,459.0,91.925,28.57142857142857,2.8
54,0.0,0.0,0.0,0.0,0.0,0.0,478.0,19.0,2.0,1.0,0.0,0.0,461.0,91.93333333333334,100.0,2.8
55,0.0,0.0,0.0,0.0,0.0,0.0,478.0,19.0,2.0,1.0,0.0,0.0,460.0,91.93333333333334,100.0,2.4
56,0.0,0.0,0.0,0.0,0.0,0.0,478.0,19.0,2.0,1.0,0.0,0.0,459.0,91.93333333333334,100.0,2.4
57,0.0,1.0,1.0,0.0,1.0,1.0,477.0,20.0,2.0,0.0,0.0,1.0,459.0,91.93333333333334,23.076923076923084,2.6
58,0.0,0.0,0.0,0.0,0.0,0.0,477.0,20.0,2.0,0.0,0.0,1.0,462.0,91.95,100.0,2.6
59,0.0,0.0,1.0,0.0,0.0,1.0,476.0,21.0,2.0,0.0,0.0,1.0,460.0,91.95,64.28571428571428,2.8
60,0.0,0.0,0.0,0.0,0.0,0.0,476.0,21.0,2.0,0.0,0.0,1.0,459.0,91.95,100.0,2.6
61,1.0,0.0,0.0,0.0,0.0,0.0,476.0,21.0,2.0,0.0,0.0,1.0,459.0,91.94166666666666,100.0,2.4
