,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
1,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,447.0,44.7,,0.0
3,0.0,0.0,1.0,0.0,0.0,1.0,499.0,1.0,0.0,0.0,0.0,0.0,453.0,60.0,-400.0,0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,453.0,67.65,100.0,0.2
5,0.0,0.0,1.0,0.0,0.0,1.0,498.0,2.0,0.0,0.0,0.0,0.0,453.0,72.24,-150.0,0.4
6,0.0,0.0,0.0,0.0,0.0,0.0,498.0,2.0,0.0,0.0,0.0,0.0,453.0,75.3,100.0,0.4
7,0.0,0.0,0.0,0.0,0.0,0.0,498.0,2.0,0.0,0.0,0.0,0.0,453.0,77.4857142857143,100.0,0.4
8,0.0,0.0,0.0,0.0,0.0,0.0,498.0,2.0,0.0,0.0,0.0,0.0,453.0,79.125,100.0,0.4
9,0.0,1.0,1.0,0.0,0.0,1.0,497.0,3.0,0.0,0.0,0.0,0.0,453.0,80.4,-25.0,0.8
10,0.0,0.0,0.0,0.0,0.0,0.0,497.0,3.0,0.0,0.0,0.0,0.0,453.0,81.42,100.0,0.8
11,0.0,0.0,1.0,0.0,0.0,1.0,496.0,4.0,0.0,0.0,0.0,0.0,453.0,82.25454545454545,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,496.0,4.0,0.0,0.0,0.0,0.0,454.0,82.96666666666665,100.0,1.0
13,0.0,0.0,1.0,0.0,0.0,1.0,495.0,5.0,0.0,0.0,0.0,0.0,454.0,83.56923076923078,16.666666666666664,1.2
14,0.0,0.0,0.0,0.0,0.0,0.0,495.0,5.0,0.0,0.0,0.0,0.0,455.0,84.1,100.0,1.2
15,0.0,0.0,0.0,0.0,0.0,0.0,495.0,5.0,0.0,0.0,0.0,0.0,455.0,84.56,100.0,1.2
16,0.0,0.0,1.0,0.0,0.0,1.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,84.9375,28.57142857142857,1.4
17,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,85.27058823529413,100.0,1.4
18,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,85.56666666666666,100.0,1.4
19,0.0,1.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,85.83157894736841,100.0,1.6
20,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,86.07,100.0,1.6
21,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,453.0,86.28571428571429,100.0,1.6
22,0.0,0.0,1.0,0.0,0.0,1.0,493.0,7.0,0.0,0.0,0.0,0.0,453.0,86.48181818181818,44.44444444444444,1.8
23,0.0,1.0,0.0,0.0,0.0,0.0,493.0,7.0,0.0,0.0,0.0,0.0,453.0,86.6608695652174,100.0,2.0
24,0.0,0.0,0.0,0.0,0.0,0.0,493.0,7.0,0.0,0.0,0.0,0.0,453.0,86.825,100.0,2.0
25,0.0,0.0,0.0,0.0,0.0,0.0,493.0,7.0,0.0,0.0,0.0,0.0,453.0,90.6,100.0,2.0
26,0.0,0.0,1.0,0.0,0.0,1.0,492.0,8.0,0.0,0.0,0.0,0.0,453.0,90.65,54.54545454545454,2.2
27,0.0,1.0,0.0,0.0,1.0,0.0,492.0,7.0,1.0,0.0,0.0,0.0,453.0,90.65,54.54545454545454,2.2
28,0.0,0.0,0.0,0.0,0.0,0.0,492.0,7.0,1.0,0.0,0.0,0.0,455.0,90.66666666666666,100.0,2.2
29,0.0,0.0,2.0,0.0,0.0,2.0,490.0,9.0,1.0,0.0,0.0,0.0,455.0,90.68333333333334,16.666666666666664,2.4
30,0.0,0.0,1.0,0.0,0.0,1.0,489.0,10.0,1.0,0.0,0.0,0.0,455.0,90.7,61.53846153846154,2.6
31,0.0,0.0,0.0,0.0,0.0,0.0,489.0,10.0,1.0,0.0,0.0,0.0,455.0,90.71666666666665,100.0,2.6
32,0.0,0.0,0.0,0.0,0.0,0.0,489.0,10.0,1.0,0.0,0.0,0.0,453.0,90.71666666666665,100.0,2.6
33,0.0,0.0,0.0,0.0,0.0,0.0,489.0,10.0,1.0,0.0,0.0,0.0,453.0,90.71666666666665,100.0,2.2
34,0.0,0.0,1.0,0.0,0.0,1.0,488.0,10.0,2.0,0.0,0.0,0.0,453.0,90.71666666666665,58.33333333333333,2.4
35,0.0,0.0,0.0,0.0,0.0,0.0,488.0,10.0,2.0,0.0,0.0,0.0,456.0,90.74166666666666,100.0,2.2
36,0.0,0.0,1.0,0.0,0.0,1.0,487.0,10.0,3.0,0.0,0.0,0.0,455.0,90.75,58.33333333333333,2.4
